SKU;ABC Class;XYZ Class;Average Unit Cost;Stock Cost;Order Cost;Total Cost;Total Ordered Units;Total Demand;Total Stockout;Stockout Rate;Alpha Service Level;Beta Service Level;Average Inventory Level;Average Daily Demand;Stock Coverage (days);Stockout Days;Total Days
AFOI33TBC;B;X;3,28;41,95;43169,1;43211,06;12600,0;11242,0;0,0;0,0;100,0;100,0;1237,09;56,78;21,79;0;198
AGNE71LCM;A;X;3,68;1117,38;429451,22;430568,61;112200,0;96870,0;0,0;0,0;100,0;100,0;28494,55;489,24;58,24;0;198
AGOV90VAY;A;X;0,52;676,03;1772620,14;1773296,16;2656640,0;2049240,0;0,0;0,0;100,0;100,0;130816,57;10349,7;12,64;0;198
AHQU99GJT;B;Y;2,08;62,54;66748,41;66810,95;29904,0;27784,5;0,0;0,0;100,0;100,0;2909,05;140,33;20,73;0;198
AHRX26EUI;C;Y;0,55;1,56;2744,0;2745,56;3920,0;2660,0;70,0;2,63;99,49;97,37;274,7;13,43;20,45;1;198
AHSQ10ADO;B;X;2,96;56,34;110980,13;111036,48;35736,0;27468,0;684,0;2,49;98,48;97,51;1892,36;138,73;13,64;3;198
AJGB00SVU;C;X;1,6;27,37;28704,04;28731,4;16416,0;15599,0;0,0;0,0;100,0;100,0;1656,77;78,78;21,03;0;198
AJVS96PAY;C;Z;1,16;1,68;313,5;315,18;240,0;250,0;0,0;0,0;100,0;100,0;135,45;1,26;107,28;0;198
AKAO10DDE;B;Z;3,0;221,25;128782,85;129004,1;40854,0;12441,0;0,0;0,0;100,0;100,0;6855,39;62,83;109,1;0;198
AKQL51SZN;C;Y;4,28;39,68;17856,0;17895,68;4032,0;3984,0;56,0;1,41;98,99;98,59;874,67;20,12;43,47;2;198
ALAN21NRD;B;Z;1,09;12,58;34326,35;34338,93;27648,0;31352,0;9856,0;31,44;92,93;68,56;1170,67;158,34;7,39;14;198
ALUB59SPL;A;Y;0,76;49,94;146687,83;146737,78;160800,0;177850,0;75,0;0,04;99,49;99,96;6937,25;898,23;7,72;1;198
ALVC28NVJ;B;Z;1,9;39,37;169217,79;169257,16;82368,0;36816,0;3732,0;10,14;95,96;89,86;2072,73;185,94;11,15;8;198
AMGY06SEJ;C;X;3,71;4,44;2780,11;2784,56;720,0;606,0;0,0;0,0;100,0;100,0;113,45;3,06;37,07;0;198
AMLU50GCV;B;Y;1,83;68,26;46067,4;46135,66;23256,0;35135,0;1056,0;3,01;99,49;96,99;3608,73;177,45;20,34;1;198
ANEP69KSW;B;Y;3,12;77,9;128105,5;128183,4;39168,0;39233,0;0,0;0,0;100,0;100,0;2498,91;198,15;12,61;0;198
ANQN16GJA;C;Z;1,64;67,43;0,0;67,43;0,0;68400,0;3600,0;5,26;97,47;94,74;4126,87;345,45;11,95;5;198
AOXT12ZOZ;A;X;1,15;26,62;53052,12;53078,73;40820,0;41070,0;20,0;0,05;98,48;99,95;2341,31;207,42;11,29;3;198
AOZX54SFS;A;X;1,37;79,71;255509,75;255589,46;167832,0;133474,5;0,0;0,0;100,0;100,0;6027,27;674,11;8,94;0;198
APJW02QGZ;B;Y;1,18;72,31;38109,51;38181,83;28620,0;23010,0;0,0;0,0;100,0;100,0;5757,27;116,21;49,54;0;198
APMP40YNJ;C;Z;4,15;7,19;8261,33;8268,52;1920,0;1680,0;0,0;0,0;100,0;100,0;168,0;8,48;19,8;0;198
APPF51YRG;B;X;1,46;78,31;121721,83;121800,13;75452,0;92088,0;15303,0;16,62;93,94;83,38;5320,4;465,09;11,44;12;198
APZK92QSV;B;X;4,69;93,46;126892,04;126985,5;26208,0;26568,0;516,0;1,94;98,99;98,06;1967,64;134,18;14,66;2;198
AQBP13JJQ;C;Z;5,07;241,91;30039,65;30281,57;5760,0;1380,0;0,0;0,0;100,0;100,0;4409,09;6,97;632,61;0;198
AQDF70FXF;C;Z;18,79;54,66;8181,85;8236,51;432,0;186,0;0,0;0,0;100,0;100,0;269,06;0,94;286,42;0;198
AQEG79FFY;B;X;4,15;122,04;231433,01;231555,05;53760,0;48075,0;2730,0;5,68;96,97;94,32;2936,21;242,8;12,09;6;198
AQMC12QMF;B;X;2,79;32,72;58480,77;58513,49;19890,0;17780,0;990,0;5,57;97,47;94,43;1165,71;89,8;12,98;5;198
AQQZ89VBR;C;Z;6,89;23,05;3321,66;3344,71;471,85;984,0;0,0;0,0;100,0;100,0;313,39;4,97;63,06;0;198
AQTP36TVE;C;Z;7,29;154,25;114606,35;114760,6;15400,0;1772,0;16,0;0,9;99,49;99,1;1958,61;8,95;218,85;1;198
ARNR68HFV;A;X;0,07;150,04;1274515,92;1274665,96;5668800,0;4526800,0;16600,0;0,37;99,49;99,63;207592,93;22862,63;9,08;1;198
ARZE08ZTN;A;Y;0,61;0,21;1462,1;1462,31;1920,0;60560,0;57424,0;94,82;66,16;5,18;47,43;305,86;0,16;67;198
ASMO36ZYS;B;Z;2,52;109,94;49772,08;49882,01;18629,09;12719,0;266,0;2,09;99,49;97,91;4081,23;64,24;63,53;1;198
ATBC63UWV;C;X;2,93;31,79;43296,88;43328,67;14040,0;13390,0;430,0;3,21;98,48;96,79;1064,09;67,63;15,73;3;198
ATPH55ETY;C;X;3,59;19,7;35140,36;35160,06;9396,0;6948,0;740,0;10,65;95,45;89,35;537,15;35,09;15,31;9;198
ATQP40GEG;C;X;4,85;33,1;50400,0;50433,1;10080,0;7712,0;0,0;0,0;100,0;100,0;668,08;38,95;17,15;0;198
ATQV14KOX;B;X;1,24;39,2;80596,62;80635,82;57856,0;47440,0;0,0;0,0;100,0;100,0;3146,42;239,6;13,13;0;198
AUZL62GWE;C;Y;3,49;14,92;31445,37;31460,29;8640,0;9645,0;2700,0;27,99;90,91;72,01;429,14;48,71;8,81;18;198
AVDD37ADG;B;Z;1,38;0,0;0,0;0,0;0,0;2304,0;2304,0;100,0;99,49;0,0;0,0;11,64;0,0;1;198
AVIL64ITJ;A;Z;1,5;18,73;59484,62;59503,35;36144,0;56520,0;25368,0;44,88;82,32;55,12;1311,76;285,45;4,6;35;198
AVQK51NHG;C;X;0,33;11,64;5834,45;5846,08;12255,0;11640,0;540,0;4,64;98,48;95,36;3345,3;58,79;56,9;3;198
AVRZ64AAQ;B;Z;1,31;0,0;0,0;0,0;0,0;24,0;24,0;100,0;98,99;0,0;0,0;0,12;0,0;2;198
AVXZ77EDF;C;Y;2,77;1,47;0,0;1,47;0,0;120,0;0,0;0,0;100,0;100,0;49,58;0,61;81,8;0;198
AWMJ94SYI;C;Y;5,14;67,13;131110,65;131177,78;24786,0;19685,0;96,0;0,49;99,49;99,51;1302,88;99,42;13,1;1;198
AWTH00GNF;A;X;1,96;111,88;233279,56;233391,44;110448,0;104568,5;4654,0;4,45;96,97;95,55;5760,05;528,12;10,91;6;198
AXAN27EQX;B;Z;2,42;10,02;28172,51;28182,53;10944,0;11736,0;2464,0;21,0;97,47;79,0;427,92;59,27;7,22;5;198
AXXN38NAM;C;Z;2,03;2,18;2201,49;2203,66;1008,0;885,0;60,0;6,78;97,98;93,22;102,76;4,47;22,99;4;198
AXYH42OMU;C;X;4,62;40,67;52802,9;52843,56;11072,0;11180,0;296,0;2,65;98,48;97,35;866,51;56,46;15,35;3;198
AXYT24KOD;C;Z;7,77;23,65;18248,53;18272,19;2304,0;2820,0;330,0;11,7;97,98;88,3;293,15;14,24;20,58;4;198
AYBO60WQZ;C;Y;4,92;15,29;19437,95;19453,25;3832,0;3164,0;4,0;0,13;99,49;99,87;302,3;15,98;18,92;1;198
AYGO89PFR;C;X;3,49;54,32;80709,78;80764,1;22176,0;14760,0;0,0;0,0;100,0;100,0;1509,25;74,55;20,25;0;198
AYJL17UOV;B;Y;1,87;77,65;110289,72;110367,37;54540,0;58315,0;2848,0;4,88;98,48;95,12;4103,09;294,52;13,93;3;198
AZDS82KHA;C;Y;2,06;38,46;29199,31;29237,77;13200,0;10340,0;0,0;0,0;100,0;100,0;1771,23;52,22;33,92;0;198
AZSJ12JLU;B;Z;1,18;7,85;8277,18;8285,02;6240,0;16720,0;12496,0;74,74;90,91;25,26;636,2;84,44;7,53;18;198
AZUC15ENL;C;Y;6,16;39,35;50524,06;50563,4;8010,11;11741,0;7738,1307;65,91;61,11;34,09;609,19;59,3;10,27;77;198
AZYE75BBQ;C;Y;9,63;106,25;114910,76;115017,01;11745,0;10097,5;175,0;1,73;98,48;98,27;1066,64;51,0;20,92;3;198
BADM83ZDD;C;Y;2,85;14,86;12960,0;12974,86;4320,0;3912,0;176,0;4,5;97,98;95,5;499,62;19,76;25,29;4;198
BAHI62GTD;C;Z;2,77;5,07;4790,17;4795,24;1640,0;7728,0;2348,0;30,38;92,93;69,62;195,8;39,03;5,02;14;198
BBAK71NWV;C;Z;4,01;36,86;30265,14;30302,0;7280,0;9620,0;0,0;0,0;100,0;100,0;896,36;48,59;18,45;0;198
BBME69SAX;C;X;3,2;27,83;36889,88;36917,71;11007,0;10429,0;909,0;8,72;97,47;91,28;849,36;52,67;16,13;5;198
BCQG99GUK;C;;1,28;39,6;83431,17;83470,76;58320,0;34236,0;0,0;0,0;100,0;100,0;3022,97;172,91;17,48;0;198
BCYX01ARX;C;Z;13,6;18,37;5344,74;5363,11;388,75;1890,0;1302,5016;68,92;91,92;31,08;127,47;9,55;13,35;16;198
BDKP01NVC;C;X;2,77;42,9;24535,0;24577,9;8400,0;6785,0;0,0;0,0;100,0;100,0;1461,41;34,27;42,65;0;198
BDVG95KUF;B;Z;2,11;54,73;108274,25;108328,99;47832,0;43743,0;0,0;0,0;100,0;100,0;2607,76;220,92;11,8;0;198
BEAP02RSM;C;;4,33;30,77;12259,95;12290,72;2736,0;1332,0;324,0;24,32;98,99;75,68;660,0;6,73;98,11;2;198
BEKQ52MGL;C;Y;2,14;26,1;39200,0;39226,1;17150,0;16090,0;1620,0;10,07;95,96;89,93;1199,65;81,26;14,76;8;198
BFAR64YCA;A;X;0,85;203,74;301065,88;301269,62;302400,0;259960,0;0,0;0,0;100,0;100,0;23521,41;1312,93;17,92;0;198
BFCN97FQN;B;X;3,07;78,72;154170,25;154248,97;47880,0;41478,5;399,0;0,96;98,99;99,04;2571,02;209,49;12,27;2;198
BGLV15DIU;C;X;7,39;33,63;21707,49;21741,12;2880,0;2250,0;0,0;0,0;100,0;100,0;430,96;11,36;37,92;0;198
BGSL75BUY;A;Y;1,18;56,41;179742,18;179798,6;134960,0;140186,0;21210,0;15,13;94,95;84,87;5000,66;708,01;7,06;10;198
BHZL40AUJ;B;X;1,35;30,92;39746,9;39777,82;26432,0;22442,0;0,0;0,0;100,0;100,0;2218,65;113,34;19,57;0;198
BIBO01OBD;C;;8,16;4,01;2392,26;2396,27;288,0;276,0;96,0;34,78;99,49;65,22;46,18;1,39;33,13;1;198
BIDG61VWW;C;X;3,35;15,1;17640,0;17655,1;5040,0;3885,0;56,0;1,44;98,48;98,56;434,74;19,62;22,16;3;198
BITM21SNR;C;Z;5,22;67,67;21637,4;21705,06;4032,0;3312,0;0,0;0,0;100,0;100,0;1212,36;16,73;72,48;0;198
BIVH06LDP;C;Z;1,86;17,21;23712,93;23730,14;11808,0;18088,0;8832,0;48,83;87,88;51,17;900,36;91,35;9,86;24;198
BJBI95LKQ;B;Z;2,14;11,7;14262,86;14274,56;6240,0;19824,0;15096,0;76,15;89,39;23,85;529,01;100,12;5,28;21;198
BJGD13RPQ;C;Z;4,5;18,97;8190,62;8209,58;1760,0;3050,0;1090,0;35,74;89,9;64,26;398,03;15,4;25,84;20;198
BJMB93NDS;C;X;3,62;46,59;55675,69;55722,28;14784,0;15182,0;0,0;0,0;100,0;100,0;1264,36;76,68;16,49;0;198
BJZJ35YTW;C;X;1,56;14,22;25084,51;25098,72;14688,0;11784,0;0,0;0,0;100,0;100,0;900,61;59,52;15,13;0;198
BLHV10HLI;C;X;3,81;3,79;2853,32;2857,11;720,0;670,0;0,0;0,0;100,0;100,0;94,95;3,38;28,06;0;198
BMAD26TMH;C;Z;1,52;8,37;7334,73;7343,1;4400,0;7075,0;2360,0;33,36;88,38;66,64;532,15;35,73;14,89;23;198
BMLB33LZE;C;X;3,83;3,24;4780,85;4784,09;1200,0;962,0;2,0;0,21;99,49;99,79;82,65;4,86;17,01;1;198
BMMO53KQA;C;X;4,42;55,77;32916,73;32972,5;7200,0;8148,0;0,0;0,0;100,0;100,0;1203,68;41,15;29,25;0;198
BMQG92LCP;C;Y;3,44;9,06;16893,85;16902,91;4704,0;5619,0;434,0;7,72;91,41;92,28;268,76;28,38;9,47;17;198
BNVP82AGQ;C;Z;5,24;17,67;8545,05;8562,72;1584,0;1432,0;648,0;45,25;95,96;54,75;314,46;7,23;43,48;8;198
BNXX22JOY;C;Z;6,24;20,95;12428,1;12449,05;1944,0;2024,0;916,0;45,26;97,47;54,74;314,91;10,22;30,81;5;198
BOKH04OEU;B;Y;1,39;84,82;127435,52;127520,34;82664,0;109384,0;33392,0;30,53;90,91;69,47;6001,82;552,44;10,86;18;198
BOQF92TBE;A;Z;1,35;259,64;341745,24;342004,88;228460,0;219530,0;2980,0;1,36;98,48;98,64;18875,05;1108,74;17,02;3;198
BOWC67BKO;C;;6,99;11,53;24685,17;24696,71;3456,0;3280,0;1504,0;45,85;97,98;54,15;161,01;16,57;9,72;4;198
BPAI40OQL;C;Z;13,69;33,08;10420,01;10453,09;752,79;1722,0;1148,0;66,67;94,44;33,33;225,56;8,7;25,94;11;198
BPBN91QMP;C;Z;6,21;28,51;79028,94;79057,45;12432,0;10625,0;88,0;0,83;98,99;99,17;476,65;53,66;8,88;2;198
BPPR48ETE;C;Z;3,26;1,78;0,0;1,78;0,0;720,0;0,0;0,0;100,0;100,0;54,0;3,64;14,85;0;198
BPWV22RQW;B;X;4,82;92,16;220460,03;220552,19;44352,0;36976,0;216,0;0,58;99,49;99,42;1947,8;186,75;10,43;1;198
BQIO24HLH;B;X;2,03;33,09;105946,5;105979,59;48510,0;30600,0;260,0;0,85;98,48;99,15;1652,63;154,55;10,69;3;198
BRHL59TFX;A;X;1,57;143,05;244507,01;244650,06;142390,0;126482,0;5620,0;4,44;97,98;95,56;9023,84;638,8;14,13;4;198
BRLS89SHM;C;Z;3,39;0,11;0,0;0,11;0,0;120,0;20,0;16,67;98,99;83,33;3,43;0,61;5,67;2;198
BROX99EVJ;C;Z;1,11;2,84;1812,58;1815,41;1440,0;2988,0;768,0;25,7;94,95;74,3;247,21;15,09;16,38;10;198
BRPP97OAD;B;X;0,95;20,23;42847,89;42868,12;38880,0;31710,0;780,0;2,46;98,48;97,54;2114,36;160,15;13,2;3;198
BRWF46IRJ;C;X;2,81;19,06;26105,96;26125,02;8820,0;6051,5;91,0;1,5;99,49;98,5;655,42;30,56;21,44;1;198
BSCA09YZA;C;Z;1,1;2,46;3209,48;3211,94;2560,0;3600,0;2400,0;66,67;96,46;33,33;211,72;18,18;11,64;7;198
BSON74CHU;B;X;5,63;179,0;302702,25;302881,26;52400,0;59960,0;4960,0;8,27;97,98;91,73;3210,05;302,83;10,6;4;198
BTBT53HRF;B;X;4,31;79,48;119914,67;119994,14;26880,0;26330,0;5410,0;20,55;94,44;79,45;1804,9;132,98;13,57;11;198
BUAX02YXK;C;Z;3,84;1,55;11233,48;11235,03;2816,0;2178,0;585,0;26,86;96,97;73,14;45,27;11,0;4,12;6;198
BUFD91PLP;C;Z;6,34;12,83;14528,24;14541,07;2240,0;1862,0;504,0;27,07;94,44;72,93;193,53;9,4;20,58;11;198
BULO99HHM;C;Z;1,36;8,09;17429,92;17438,0;11520,0;12090,0;2550,0;21,09;98,48;78,91;595,0;61,06;9,74;3;198
BUPG01JRN;C;;42,85;6,79;17286,0;17292,79;402,0;672,0;306,0;45,54;98,48;54,46;16,45;3,39;4,85;3;198
BVLD98PJM;C;Z;2,03;28,83;24679,35;24708,18;11300,0;10465,0;0,0;0,0;100,0;100,0;1359,24;52,85;25,72;0;198
BVLG54IQX;C;Z;3,97;3,63;2271,9;2275,53;552,0;1353,0;1018,0;75,24;89,39;24,76;86,07;6,83;12,6;21;198
BVZS73UON;C;Z;2,74;0,36;577,35;577,71;200,0;213,0;57,0;26,76;96,46;73,24;12,8;1,08;11,9;7;198
BWIM68WJM;C;Y;3,6;15,21;17079,88;17095,09;4560,0;3595,5;0,0;0,0;100,0;100,0;408,08;18,16;22,47;0;198
BWVL00BWL;C;Y;4,66;10,3;0,0;10,3;0,0;1470,0;168,0;11,43;97,47;88,57;210,55;7,42;28,36;5;198
BXEG08XWA;C;Z;1,19;8,12;3598,59;3606,72;2685,0;2683,0;1145,0;42,68;86,36;57,32;636,94;13,55;47,0;27;198
BZIB63IFG;C;X;1,45;8,22;8727,97;8736,19;5460,0;4702,5;255,0;5,42;97,98;94,58;545,3;23,75;22,96;4;198
BZYZ27CEW;C;Z;1,49;20,38;1439,13;1459,51;880,0;557,5;0,0;0,0;100,0;100,0;1267,15;2,82;450,04;0;198
CAHI28NDA;B;X;2,2;100,63;143222,72;143323,34;60984,0;60337,5;12880,0;21,35;94,44;78,65;4458,4;304,73;14,63;11;198
CAIJ02DXV;C;Z;1,62;39,46;27506,9;27546,36;15552,0;10908,0;1836,0;16,83;89,9;83,17;2292,55;55,09;41,61;20;198
CAOT92ECU;C;Z;1,1;48,24;30829,33;30877,58;24640,0;18880,0;0,0;0,0;100,0;100,0;4133,33;95,35;43,35;0;198
CBTL80HNX;C;X;17,77;76,42;154832,0;154908,42;8640,0;6672,0;222,0;3,33;97,98;96,67;428,97;33,7;12,73;4;198
CBUE73IQD;C;Z;11,26;1474,36;0,0;1474,36;0,0;76310,0;0,0;0,0;100,0;100,0;12457,42;385,4;32,32;0;198
CCST26REJ;C;Z;3,55;8,19;2396,4;2404,59;648,0;401,0;0,0;0,0;100,0;100,0;214,67;2,03;106,0;0;198
CDNX62QVY;A;X;0,62;20,45;100440,0;100460,45;129600,0;175032,0;66132,0;37,78;80,81;62,22;3565,45;884,0;4,03;38;198
CEDN88DWP;C;Z;2,91;4,01;587,98;592,0;192,0;160,0;0,0;0,0;100,0;100,0;127,8;0,81;158,15;0;198
CFSF52FDS;C;Z;1,56;2,89;2033,0;2035,89;1188,0;3250,0;1746,0;53,72;81,82;46,28;178,51;16,41;10,88;36;198
CGME36BZF;C;Z;3,51;41,74;18466,99;18508,72;5040,0;4090,0;200,0;4,89;99,49;95,11;1114,39;20,66;53,95;1;198
CGNN82OHK;C;X;1,46;7,6;4168,8;4176,4;2592,0;2508,0;80,0;3,19;98,99;96,81;492,36;12,67;38,87;2;198
CGOB65SGW;A;X;1,39;220,6;295665,07;295885,67;191790,0;148954,5;0,0;0,0;100,0;100,0;15363,54;752,3;20,42;0;198
CGXK58LSV;C;Y;3,39;45,05;12724,96;12770,02;3590,0;1315,0;0,0;0,0;100,0;100,0;1229,95;6,64;185,19;0;198
CGXU62CFR;A;X;0,09;200,58;816112,34;816312,92;3369600,0;2648250,0;0,0;0,0;100,0;100,0;213893,18;13375,0;15,99;0;198
CHHE55HDP;C;Z;2,45;66,24;74939,39;75005,63;28850,0;20875,0;1725,0;8,26;97,98;91,74;2591,16;105,43;24,58;4;198
CHNM68VZF;C;X;2,98;20,31;40177,3;40197,61;12846,0;12849,0;1248,0;9,71;96,46;90,29;687,24;64,89;10,59;7;198
CHPD62HCA;A;X;0,46;128,19;282353,29;282481,49;466020,0;416330,0;7920,0;1,9;97,98;98,1;27981,52;2102,68;13,31;4;198
CHRF16PET;C;Y;1,05;1,04;2309,79;2310,83;1920,0;1660,0;40,0;2,41;98,99;97,59;99,44;8,38;11,86;2;198
CIDP66VOX;C;Z;5,36;14,83;10909,23;10924,06;1980,0;1164,0;0,0;0,0;100,0;100,0;260,91;5,88;44,38;0;198
CIUV27OFQ;B;Y;2,4;50,91;95526,66;95577,57;37440,0;30402,0;486,0;1,6;99,49;98,4;2105,09;153,55;13,71;1;198
CJDD29FZZ;C;X;2,96;3,24;3130,4;3133,64;1008,0;972,0;64,0;6,58;97,98;93,42;105,54;4,91;21,5;4;198
CJHX73LAS;C;Z;6,64;50,77;26871,43;26922,19;3960,0;3280,0;0,0;0,0;100,0;100,0;721,72;16,57;43,57;0;198
CJQD68FGI;C;Z;4,09;15,39;4277,47;4292,86;1008,0;858,0;0,0;0,0;100,0;100,0;350,82;4,33;80,96;0;198
CKYC93HJE;C;Y;13,12;83,95;46714,67;46798,62;3520,0;2696,0;144,0;5,34;98,99;94,66;602,63;13,62;44,26;2;198
CMNC99EEN;A;X;0,51;186,3;218767,06;218953,36;332800,0;282250,0;0,0;0,0;100,0;100,0;35270,71;1425,51;24,74;0;198
CMNM87DEF;C;Y;2,93;1,14;851,14;852,27;276,0;804,0;444,0;55,22;92,93;44,78;37,58;4,06;9,25;14;198
CMQF44EQT;C;Y;3,54;27,84;3925,1;3952,94;1064,0;1500,0;0,0;0,0;100,0;100,0;732,69;7,58;96,71;0;198
CNLX46BDJ;B;X;1,47;27,89;40109,56;40137,45;24750,0;36675,0;10725,0;29,24;89,9;70,76;1879,04;185,23;10,14;20;198
CNRI33YVT;C;;4,3;19,67;19218,19;19237,86;4320,0;2016,0;72,0;3,57;99,49;96,43;431,64;10,18;42,39;1;198
COPM90NQS;B;Y;3,56;46,29;0,0;46,29;0,0;4490,0;18,0;0,4;99,49;99,6;1219,76;22,68;53,79;1;198
CPAP94WOL;C;Y;2,56;29,87;30066,71;30096,58;11088,0;8743,0;0,0;0,0;100,0;100,0;1119,08;44,16;25,34;0;198
CPQC93HQC;C;Z;4,13;49,43;74900,98;74950,41;17496,0;16749,0;396,0;2,36;99,49;97,64;1185,52;84,59;14,01;1;198
CQMB14NXU;C;Y;3,81;2,89;2567,7;2570,59;648,0;489,0;0,0;0,0;100,0;100,0;72,42;2,47;29,33;0;198
CQUZ39ZBK;C;X;11,34;406,99;60948,62;61355,6;5304,3;10809,5;0,0;0,0;100,0;100,0;3362,45;54,59;61,59;0;198
CQWA43VUS;B;Y;2,85;37,53;58080,0;58117,53;19360,0;28192,0;12092,0;42,89;90,4;57,11;1295,15;142,38;9,1;19;198
CRAI19FYQ;C;Z;10,71;7,27;3517,71;3524,98;324,0;258,0;0,0;0,0;100,0;100,0;63,88;1,3;49,02;0;198
CRKD01DKB;C;Z;3,72;19,28;37654,12;37673,39;9720,0;7236,0;288,0;3,98;97,98;96,02;512,18;36,55;14,01;4;198
CRPT93HWZ;B;X;1,69;63,41;97843,52;97906,92;53064,0;46679,0;0,0;0,0;100,0;100,0;3685,94;235,75;15,63;0;198
CRQL91UBX;C;X;2,77;17,07;11432,38;11449,45;3920,0;2650,0;0,0;0,0;100,0;100,0;582,27;13,38;43,51;0;198
CSPR32GGQ;B;X;3,44;22,42;59818,01;59840,43;16656,0;14550,0;284,0;1,95;97,98;98,05;672,53;73,48;9,15;4;198
CTZV65KKO;C;;1,11;0,85;6444,71;6445,56;5120,0;4608,0;1536,0;33,33;96,97;66,67;86,06;23,27;3,7;6;198
CUDJ16ZPV;C;Z;1,35;19,68;66083,18;66102,86;44100,0;34805,0;0,0;0,0;100,0;100,0;1521,06;175,78;8,65;0;198
CUQW96QKG;C;Y;9,28;76,8;122194,29;122271,08;12960,0;8470,0;170,0;2,01;98,48;97,99;804,8;42,78;18,81;3;198
CVTY97UTZ;C;Y;5,96;46,97;17824,59;17871,57;2916,0;1889,0;66,0;3,49;99,49;96,51;735,33;9,54;77,08;1;198
CWFV18CLS;B;X;1,27;21,88;37974,56;37996,43;26752,0;21053,0;0,0;0,0;100,0;100,0;1694,63;106,33;15,94;0;198
CWZN42MUK;C;Z;0,12;2,17;3866,67;3868,84;14400,0;28142,5;14830,0;52,7;87,37;47,3;1754,92;142,13;12,35;25;198
CXUJ33EOP;A;X;0,57;169,34;572306,4;572475,74;793296,0;678682,0;25392,0;3,74;98,99;96,26;30613,58;3427,69;8,93;2;198
CYBQ50FXG;C;Z;9,61;7,46;7029,82;7037,28;720,0;456,0;0,0;0,0;100,0;100,0;73,82;2,3;32,05;0;198
CYEY37KJI;B;Y;5,26;87,03;179034,77;179121,79;33120,0;27321,0;0,0;0,0;100,0;100,0;1664,24;137,98;12,06;0;198
CYIL54NKH;C;Z;20,4;98,6;17098,73;17197,33;832,0;564,0;0,0;0,0;100,0;100,0;448,32;2,85;157,39;0;198
CYJA63XLN;C;X;7,14;111,8;121176,0;121287,8;16632,0;12444,0;180,0;1,45;99,49;98,55;1506,06;62,85;23,96;1;198
CYOC41WYB;B;X;2,17;47,81;45369,6;45417,41;19584,0;17796,0;0,0;0,0;100,0;100,0;2123,82;89,88;23,63;0;198
CYUC22ZBQ;C;Z;4,59;48,5;68273,87;68322,37;14400,0;13071,0;0,0;0,0;100,0;100,0;1039,76;66,02;15,75;0;198
CZIS04ACI;A;X;1,05;108,78;310768,11;310876,89;259200,0;223660,0;1000,0;0,45;99,49;99,55;10683,03;1129,6;9,46;1;198
CZKW28LKO;B;X;0,96;15,62;19430,36;19445,98;17550,0;15940,0;0,0;0,0;100,0;100,0;1585,05;80,51;19,69;0;198
CZLZ12MWM;C;Y;4,01;40,21;74024,34;74064,55;17808,0;15657,0;918,0;5,86;96,97;94,14;999,42;79,08;12,64;6;198
DAUW47KKI;C;Y;7,35;31,54;100530,83;100562,37;13412,0;17057,99;5271,0;30,9;84,85;69,1;455,28;86,15;5,28;30;198
DAWL45NTI;C;Z;23,49;60,11;17022,71;17082,82;720,0;384,0;0,0;0,0;100,0;100,0;237,78;1,94;122,6;0;198
