SKU;Total Cost;Stockout Rate;Alpha Service Level;Beta Service Level;Average Inventory Level;Stock Coverage (days)
AUZL62GWE;36052,78;1,79;98,99;98,21;378,84;7,78
AVIL64ITJ;97269,82;1,48;98,99;98,52;2030,42;7,11
AVQK51NHG;6019,37;0,0;100,0;100,0;5844,85;99,42
AVRZ64AAQ;797,16;50,0;99,49;50,0;520,18;4291,5
AWMJ94SYI;96962,07;0,0;100,0;100,0;695,56;7,0
AXAN27EQX;31101,81;10,0;98,48;90,0;1265,42;21,35
AXXN38NAM;2211,47;0,0;100,0;100,0;452,67;101,27
AXYH42OMU;51319,26;0,0;100,0;100,0;847,19;15,0
AXYT24KOD;24820,7;0,04;99,49;99,96;261,23;18,34
AYBO60WQZ;15353,25;0,13;99,49;99,87;260,38;16,29
AYGO89PFR;51935,15;0,0;100,0;100,0;1328,28;17,82
AZDS82KHA;23383,87;3,98;96,46;96,02;1091,68;20,9
AZYE75BBQ;99223,96;0,15;99,49;99,85;435,72;8,54
BADM83ZDD;14593,37;0,0;100,0;100,0;432,32;21,88
BAHI62GTD;25124,83;0,0;100,0;100,0;868,61;22,25
BBAK71NWV;31471,1;0,0;100,0;100,0;964,19;19,85
BBME69SAX;34778,5;0,0;100,0;100,0;870,21;16,52
BDKP01NVC;18455,76;0,0;100,0;100,0;1813,21;52,91
BEKQ52MGL;40138,43;0,56;99,49;99,44;1041,87;12,82
BFCN97FQN;125356,64;0,03;99,49;99,97;1012,95;4,84
BGLV15DIU;16314,21;0,0;100,0;100,0;419,14;36,88
BGSL75BUY;183786,34;3,78;97,98;96,22;5979,74;8,45
BHZL40AUJ;31854,7;0,0;100,0;100,0;1600,03;14,12
BIDG61VWW;14127,35;0,0;100,0;100,0;422,42;21,52
BITM21SNR;21683,89;0,0;100,0;100,0;821,56;49,11
BJMB93NDS;55715,43;0,88;98,99;99,12;1013,05;13,21
BJZJ35YTW;19193,0;0,0;100,0;100,0;635,15;10,67
BLHV10HLI;2387,42;0,0;100,0;100,0;233,18;68,91
BMLB33LZE;4146,51;0,0;100,0;100,0;74,73;15,38
BMMO53KQA;32964,77;0,34;99,49;99,66;1001,21;24,33
BMQG92LCP;19019,74;0,0;100,0;100,0;379,31;13,37
BNVP82AGQ;8570,91;0,0;100,0;100,0;454,42;62,83
BNXX22JOY;14392,24;0,54;99,49;99,46;210,56;20,6
BOQF92TBE;316307,04;2,58;98,99;97,42;7101,39;6,4
BPBN91QMP;67503,68;2,26;98,99;97,74;280,16;5,22
BPPR48ETE;36,88;0,0;100,0;100,0;79,48;21,86
BPWV22RQW;174597,08;0,0;100,0;100,0;885,99;4,74
BQIO24HLH;63978,55;0,0;100,0;100,0;1091,33;7,06
BROX99EVJ;5453,22;0,0;100,0;100,0;1288,42;85,38
BRPP97OAD;34693,99;0,0;100,0;100,0;1406,26;8,78
BRWF46IRJ;18666,05;0,0;100,0;100,0;621,12;20,32
BTBT53HRF;114525,87;0,84;99,49;99,16;1340,16;10,08
BUAX02YXK;9082,46;3,21;98,48;96,79;170,99;15,54
BUFD91PLP;14555,7;0,0;100,0;100,0;399,57;42,49
BULO99HHM;19284,23;0,0;100,0;100,0;877,45;14,37
BVLD98PJM;20463,96;0,0;100,0;100,0;978,43;18,51
BVLG54IQX;6936,52;0,0;100,0;100,0;512,63;75,02
BVZS73UON;508,45;28,64;98,48;71,36;12,93;12,02
BWIM68WJM;14248,25;0,0;100,0;100,0;384,93;21,19
BWVL00BWL;4536,06;0,0;100,0;100,0;760,67;102,46
BXEG08XWA;3513,58;20,09;94,95;79,91;266,98;19,7
BZIB63IFG;7493,54;0,0;100,0;100,0;790,29;33,28
CAIJ02DXV;20672,55;5,94;97,98;94,06;2412,73;43,8
CAOT92ECU;27365,83;0,0;100,0;100,0;3124,09;32,76
CBTL80HNX;116202,55;0,0;100,0;100,0;407,42;12,09
CDNX62QVY;132256,95;10,48;95,45;89,52;7786,93;8,81
CFSF52FDS;5613,48;0,0;100,0;100,0;433,24;26,39
CGME36BZF;15853,19;6,36;98,99;93,64;638,46;30,91
CGNN82OHK;5573,7;0,0;100,0;100,0;966,85;76,33
CGXK58LSV;13684,53;0,0;100,0;100,0;1993,81;300,21
CGXU62CFR;634129,77;0,0;100,0;100,0;75170,69;5,62
CHHE55HDP;63808,08;0,0;100,0;100,0;2806,72;26,62
CHNM68VZF;40555,97;0,0;100,0;100,0;684,68;10,55
CHPD62HCA;231868,45;0,0;100,0;100,0;13291,79;6,32
CHRF16PET;1560,25;2,41;99,49;97,59;99,89;11,92
CIDP66VOX;10355,7;0,0;100,0;100,0;714,0;121,45
CIUV27OFQ;73507,38;0,0;100,0;100,0;972,36;6,33
CJDD29FZZ;4725,1;0,0;100,0;100,0;920,12;187,43
CJQD68FGI;4295,95;0,0;100,0;100,0;415,97;95,99
CKYC93HJE;37452,02;0,0;100,0;100,0;564,0;41,42
CMNC99EEN;182076,54;0,0;100,0;100,0;13667,48;9,59
CMQF44EQT;3953,05;0,0;100,0;100,0;727,76;96,06
CNLX46BDJ;51487,97;0,73;98,48;99,27;1539,98;8,31
COPM90NQS;66,11;0,0;100,0;100,0;1709,59;75,39
CPAP94WOL;23412,35;0,0;100,0;100,0;976,22;22,11
CPQC93HQC;74100,31;0,0;100,0;100,0;857,11;10,13
CQMB14NXU;4310,47;0,0;100,0;100,0;748,73;303,17
CQUZ39ZBK;62876,26;0,15;99,49;99,85;1312,8;24,05
CQWA43VUS;86213,08;0,0;100,0;100,0;1910,68;13,42
CRPT93HWZ;81705,14;0,63;99,49;99,37;1363,36;5,78
CRQL91UBX;8597,99;0,0;100,0;100,0;789,67;59,0
CSPR32GGQ;50929,15;0,1;99,49;99,9;379,44;5,16
CUDJ16ZPV;53987,93;0,13;99,49;99,87;1162,28;6,61
CUQW96QKG;81516,48;1,53;98,48;98,47;532,73;12,45
CVTY97UTZ;11901,45;0,0;100,0;100,0;284,31;29,8
CWFV18CLS;27998,11;0,0;100,0;100,0;1224,09;11,51
CWZN42MUK;7483,96;11,66;96,97;88,34;2148,94;15,12
CXUJ33EOP;510301,68;0,0;100,0;100,0;25933,96;7,57
CYEY37KJI;141597,01;0,0;100,0;100,0;977,84;7,09
CYIL54NKH;99,31;0,0;100,0;100,0;448,69;157,52
CYJA63XLN;110264,16;0,58;98,99;99,42;1345,45;21,41
CYOC41WYB;39749,63;0,0;100,0;100,0;2179,42;24,25
CYUC22ZBQ;62610,51;0,0;100,0;100,0;524,67;7,95
CZIS04ACI;272877,84;0,0;100,0;100,0;6547,48;5,8
CZKW28LKO;16452,52;0,0;100,0;100,0;1102,2;13,69
CZLZ12MWM;66702,15;1,48;98,99;98,52;335,11;4,24
DAWL45NTI;17075,3;0,0;100,0;100,0;206,34;106,4
DAZV00ZDO;5869,4;0,0;100,0;100,0;244,12;37,82
DCCI03FJF;26723,66;0,0;100,0;100,0;4243,64;129,67
DCYY41OXM;60821,01;0,0;100,0;100,0;1118,53;5,4
DDHH31OLZ;36767,13;0,0;100,0;100,0;1124,86;12,6
DDQO79YYY;32466,86;0,38;99,49;99,62;456,08;11,53
DDZF92MUD;12398,4;0,0;100,0;100,0;915,03;65,08
DECH95SPM;145800,86;0,87;98,48;99,13;2305,94;7,33
DENH39GDU;9621,5;0,0;100,0;100,0;243,99;21,88
DETF05GUN;80547,92;0,0;100,0;100,0;1073,99;10,95
DEUT18EKM;20,24;0,0;100,0;100,0;854,95;237,09
DEZG49HBU;9807,63;8,31;99,49;91,69;308,83;12,01
DFEL35GOO;23518,71;0,0;100,0;100,0;2100,54;27,02
DGID45KCK;122726,69;0,02;99,49;99,98;1741,73;6,0
DHWN85BFH;40105,06;1,49;98,99;98,51;346,59;9,44
DISR36IAW;80775,89;0,21;99,49;99,79;6496,66;9,55
DJCG91CEP;6649,8;0,0;100,0;100,0;569,09;67,23
DJDD16MJM;65321,47;0,0;100,0;100,0;631,39;6,5
DJVI99GND;122774,89;0,48;98,99;99,52;1276,29;7,38
DKDE49QWW;7390,63;0,0;100,0;100,0;343,47;22,91
DKEY88BQS;10084,29;0,47;99,49;99,53;1438,95;11,86
DLGZ60BGP;47053,0;0,0;100,0;100,0;1149,85;11,71
DLPB83LMJ;91,38;0,0;100,0;100,0;182,12;33,02
DLRA77DWW;29,91;0,0;100,0;100,0;298,63;107,12
DMHG88IKV;78255,83;0,09;99,49;99,91;2347,57;3,74
DMND61MOE;17455,88;0,0;100,0;100,0;832,71;30,49
DMWW72ZFU;262354,55;0,55;98,99;99,45;1175,89;6,52
DMXD68DCV;230860,4;0,28;99,49;99,72;2182,65;7,03
DMXX95UHE;4886,98;0,0;100,0;100,0;383,03;49,96
DNKD63EQL;3964,27;0,0;100,0;100,0;1589,24;69,46
DOLF60TDO;337542,51;0,99;99,49;99,01;2497,08;5,44
DPFP00PPJ;161550,4;0,0;100,0;100,0;1730,39;8,64
DQDW59EWW;189,19;0,0;100,0;100,0;74,57;35,49
DQIB46WZL;127440,38;6,85;98,48;93,15;15018,87;7,82
DQST71BFV;5,02;0,0;100,0;100,0;1510,39;67,46
DRIH34TYV;4,23;0,0;100,0;100,0;2,96;24,42
DRNI18DTG;6128,73;0,24;99,49;99,76;499,84;30,25
DRRK91SFW;40489,27;0,0;100,0;100,0;484,44;10,77
DRSF41ZYM;100130,12;1,51;98,99;98,49;1658,78;5,84
DTHH24RED;25122,9;0,0;100,0;100,0;132,29;7,57
DUNO11XHP;30185,13;0,0;100,0;100,0;1992,25;50,54
DUVM50USJ;280940,08;1,54;96,97;98,46;10910,62;6,19
DUVP29CJD;48137,67;0,0;100,0;100,0;1036,74;14,06
DVIH38MJZ;25662,91;0,31;99,49;99,69;1049,47;27,12
DVKW42JPW;13887,54;0,0;100,0;100,0;348,0;149,14
DWXW23ROK;6764,44;0,0;100,0;100,0;540,17;45,36
DYNA08VND;24326,15;9,14;97,98;90,86;1500,18;25,41
DYNJ09FYL;12976,47;1,52;99,49;98,48;599,92;46,27
DZTV28HGD;14233,56;0,28;99,49;99,72;215,74;19,74
DZUE62FEX;35241,03;2,79;97,98;97,21;587,27;20,3
EAFE90WKR;21678,46;0,0;100,0;100,0;709,05;10,62
EAVM81BXB;39024,99;0,0;100,0;100,0;527,84;13,54
EAZW56VJA;37038,63;0,0;100,0;100,0;427,8;10,52
EBBS11TLR;9435,6;0,0;100,0;100,0;798,18;31,58
EDRV73GXD;16131,11;0,0;100,0;100,0;641,8;32,51
EEPK36WCP;17648,65;0,0;100,0;100,0;765,79;14,06
EEVG71ZRL;1644238,64;1,78;96,97;98,22;76543,91;4,99
EFRT03INZ;3686101,14;0,82;99,49;99,18;86090,29;6,1
EGBS04MIC;61538,9;0,0;100,0;100,0;1785,97;5,79
EGDC22FMA;5029,94;0,0;100,0;100,0;781,41;63,67
EHMN85AVL;34667,41;6,01;98,48;93,99;1035,56;13,04
EILO87FSQ;157320,82;3,08;97,98;96,92;4164,69;8,46
EJEL16XKW;11416,18;0,0;100,0;100,0;2293,26;289,21
EJNQ36YZQ;7464,8;0,0;100,0;100,0;180,3;66,23
EJXK43CIV;15851,43;0,0;100,0;100,0;500,64;23,06
EJYJ78YSW;9878,91;0,0;100,0;100,0;362,42;25,89
EKGC04LZQ;58373,56;0,21;99,49;99,79;1295,66;9,07
EKSV29ZXO;198398,47;1,39;99,49;98,61;687,95;2,61
EKZD71FSB;2864,52;0,0;100,0;100,0;342,3;118,9
EMGH86RXJ;23296,2;5,9;96,97;94,1;4488,45;8,29
ENFR62LON;41973,6;0,0;100,0;100,0;1493,43;15,8
ENMS51USW;12205,37;0,0;100,0;100,0;940,39;102,42
EORW09QCA;128829,91;2,43;98,99;97,57;319,6;9,5
EOWT02POH;28145,67;2,54;97,47;97,46;1089,71;8,33
EPWC52AUO;600666,66;1,81;97,98;98,19;34588,18;5,48
EQUZ91VJN;6,1;0,0;100,0;100,0;205,36;22,37
ERIM01DPG;40511,56;0,22;99,49;99,78;232,57;6,7
ERIO34WXJ;51301,01;0,0;100,0;100,0;4544,15;11,74
ESGO82VKN;15025,14;26,97;96,46;73,03;225,48;14,52
ESNE13YPM;5901,96;2,13;98,99;97,87;64,75;11,87
ESNI97XJF;124916,37;0,02;99,49;99,98;6407,22;6,62
ETOZ73RPG;448514,45;0,0;100,0;100,0;3252,6;3,19
EUEC33VDU;6069,26;0,0;100,0;100,0;855,15;100,79
EUKN02AQD;3386,91;0,0;100,0;100,0;757,52;78,12
EUQJ35PNX;47764,73;0,0;100,0;100,0;2942,12;50,57
EVTW65WNM;36546,53;1,69;99,49;98,31;1197,93;14,61
EWFT71UVQ;261535,32;0,69;99,49;99,31;968,58;6,85
EWIH71EDZ;117236,93;0,29;99,49;99,71;2244,95;6,22
EXHX97JSF;3180,9;0,0;100,0;100,0;713,84;113,07
EXPM07IKN;25011,65;0,2;99,49;99,8;178,01;7,05
EXUJ38JPL;3705,57;0,0;100,0;100,0;518,06;176,25
EYKJ62LHJ;1588,26;0,0;100,0;100,0;120,62;89,78
EZHF94FIP;241694,16;0,56;99,49;99,44;1585,96;8,76
FANH24JCJ;166228,89;2,19;98,99;97,81;1490,55;6,31
FAVC49ZQG;50271,99;0,0;100,0;100,0;832,99;5,68
FBAC36ALE;7173,14;1,28;99,49;98,72;677,55;30,62
FBKY82IGW;15034,44;0,0;100,0;100,0;418,26;14,4
FDNK25WTI;151537,67;0,04;99,49;99,96;738,48;7,35
FDPC43EZS;37230,23;2,13;98,99;97,87;567,58;6,4
FEZS07UUZ;51150,1;0,0;100,0;100,0;1151,24;10,18
FFGT42CIV;67536,63;0,48;99,49;99,52;865,7;20,41
FFIA76SPB;6793,42;0,0;100,0;100,0;1955,85;43,82
FFNZ08VUQ;86049,69;1,06;99,49;98,94;933,06;17,8
FFTI00IAF;75798,3;3,21;97,47;96,79;775,65;7,62
FHOD96CFO;2456,86;0,0;100,0;100,0;701,02;50,88
FILI14GUK;119993,8;0,84;98,48;99,16;2189,03;5,58
FINQ79LCW;82852,45;0,06;99,49;99,94;1456,45;7,79
FJAF09OWD;22094,45;0,0;100,0;100,0;770,44;11,39
FJAM67ERH;405502,65;1,03;98,99;98,97;2873,12;5,84
FJOZ43CSH;55892,42;0,41;98,99;99,59;588,87;6,76
FJUA69DZU;11317,26;0,0;100,0;100,0;270,06;19,97
FJVE86HCI;598068,84;0,68;99,49;99,32;61210,45;6,59
FKKM55CDJ;39935,06;0,0;100,0;100,0;1205,86;26,65
FKTJ89LEA;131542,41;1,65;98,99;98,35;6875,0;16,28
FLFD69QMH;287793,13;0,72;99,49;99,28;5093,69;8,35
FMLD62KEI;181633,82;3,4;97,47;96,6;442,01;9,06
FMPX53XWF;32810,47;8,62;98,99;91,38;627,53;23,29
FNEA23ISC;53363,56;0,0;100,0;100,0;1118,98;6,21
FNVU51FNV;52620,83;0,0;100,0;100,0;790,33;10,87
FOBR22MSN;2312,53;0,0;100,0;100,0;593,86;258,43
FOBV94GVR;761259,87;0,0;100,0;100,0;24377,22;4,2
FOGA28EEH;30497,31;0,0;100,0;100,0;461,31;8,12
FOII60HZR;4,69;0,0;100,0;100,0;105,58;137,53
FOIO82HHP;434754,65;0,59;99,49;99,41;2265,58;7,27
FQDL25EZN;69,5;0,0;100,0;100,0;29,04;28,19
FQOF49BSR;38143,34;0,0;100,0;100,0;798,02;16,37
FQPR58URQ;708774,54;1,25;98,99;98,75;35421,57;3,82
FRAM30OZP;111509,12;0,0;100,0;100,0;723,86;7,07
FSCF22PDZ;82874,04;0,0;100,0;100,0;1481,95;4,79
FSNK66QLG;170355,87;5,67;98,48;94,33;1650,9;7,24
FSVM04JSS;114496,56;0,88;98,99;99,12;1630,84;10,48
FSYJ54YAN;3161,75;4,26;98,48;95,74;478,91;112,09
FTHK04EQC;24780,57;1,09;99,49;98,91;531,71;13,38
FTQE01RPT;154305,96;0,0;100,0;100,0;6063,58;5,23
FTQI85QCD;4295,12;0,0;100,0;100,0;828,48;2103,08
FTQW61QYL;39099,21;0,0;100,0;100,0;250,03;4,95
FTZN25UZH;182204,49;0,0;100,0;100,0;5400,55;7,59
FUDI74XNQ;3,85;0,0;100,0;100,0;3,07;25,33
FUFK88WUQ;86338,31;2,43;98,48;97,57;794,17;7,77
FUQQ36LIP;23463,33;1,54;99,49;98,46;658,79;27,87
FUXY88GDB;218939,28;2,51;97,98;97,49;3786,48;3,96
FVBD37HQB;12138,87;0,0;100,0;100,0;697,72;21,0
FVCJ30RVH;85601,12;1,84;98,48;98,16;1320,61;5,79
FVUO62HTP;4038,92;4,45;99,49;95,55;239,83;17,75
FWRK19CWC;195,02;0,0;100,0;100,0;30,63;25,91
FXCI18WCK;8047,97;0,0;100,0;100,0;274,03;37,26
FXXV11MGP;15831,49;0,0;100,0;100,0;1263,23;41,19
FYBK70SNY;40859,47;1,01;99,49;98,99;2387,32;8,91
FYFO43CVN;60992,87;1,05;99,49;98,95;1216,27;9,07
FYRX53VAC;12715,08;0,0;100,0;100,0;665,43;40,78
FYYZ87QGO;3106,57;11,31;97,98;88,69;755,48;27,73
FZFM65NZY;81070,52;0,19;99,49;99,81;1119,56;7,08
FZFP28ORB;85780,26;0,0;100,0;100,0;9333,84;11,72
FZFT11JIE;71723,76;0,0;100,0;100,0;854,27;9,15
FZQA53CSD;35425,78;0,0;100,0;100,0;1093,46;6,53
FZRY85XVB;15031,28;0,0;100,0;100,0;2765,27;86,58
GAYA56QOJ;503009,87;0,54;99,49;99,46;732,68;3,97
GBUJ30ALH;744116,71;6,42;94,95;93,58;17978,3;8,12
GBZA17RMO;17147,85;0,0;100,0;100,0;708,6;11,61
GCRL34DDH;161348,32;1,88;98,99;98,12;1168,95;7,41
GDRE49GXM;185899,33;3,23;96,97;96,77;3745,13;7,36
GEIL72FVU;1965,95;0,0;100,0;100,0;154,63;51,03
GFWW34KWZ;42277,79;0,0;100,0;100,0;1040,03;122,58
GGJA06NJO;229141,73;0,96;98,48;99,04;1765,68;7,25
GGSN89NEX;45663,92;3,45;99,49;96,55;1501,8;17,81
GGTF06DQX;340950,33;3,25;97,98;96,75;12566,91;3,52
GHAD79ZCZ;8494,53;0,0;100,0;100,0;882,9;76,01
GHUL20KUB;67132,94;0,0;100,0;100,0;1413,61;13,26
GJWK81AYE;1631,7;0,0;100,0;100,0;265,86;88,47
GJXM03XNW;19945,21;0,0;100,0;100,0;738,14;20,03
GKQG13XVE;30740,17;0,91;98,99;99,09;4289,55;17,54
GLRA46ELA;27413,19;1,1;99,49;98,9;536,42;48,5
GMJG11AQC;98169,82;0,0;100,0;100,0;357,42;25,79
GNPV74IUC;16517,19;0,0;100,0;100,0;602,21;19,11
GOJD85HYI;28767,1;0,0;100,0;100,0;631,12;17,2
GPKK85RER;68,83;0,0;100,0;100,0;1629,34;87,31
GQWT95LLK;91174,66;1,04;98,99;98,96;448,72;5,26
GREQ59HTG;47246,53;0,51;99,49;99,49;2513,18;6,24
GROT79YWF;123859,02;0,0;100,0;100,0;1256,58;6,25
GRUM26KMW;38427,83;0,0;100,0;100,0;1336,18;19,72
GRUW68GNK;20141,2;0,0;100,0;100,0;8943,18;144,85
GSLX00NDE;8981,56;0,68;99,49;99,32;549,95;74,07
GSPG11FMG;5436,6;1,23;99,49;98,77;325,86;39,83
GSWH65QOX;17933,19;0,12;99,49;99,88;951,56;20,48
GTMS54WYS;29509,43;1,73;99,49;98,27;776,36;15,27
GTVF20BNT;12119,35;26,52;97,98;73,48;508,39;53,6
GULI61IDJ;89036,39;0,73;99,49;99,27;958,32;7,91
GUSZ71BXE;136939,05;27,47;89,39;72,53;3194,85;9,25
GUYI09INC;20887,83;4,48;96,46;95,52;576,72;18,94
GVFL45RLZ;6538,4;0,0;100,0;100,0;497,58;50,27
GVMB23LHG;8452,12;0,0;100,0;100,0;821,52;74,89
GXLZ95BIB;7195,2;0,0;100,0;100,0;632,61;81,55
GXUY27OKX;208834,34;0,0;100,0;100,0;7571,42;11,88
GYVJ53YTT;45009,62;0,25;99,49;99,75;4328,37;11,12
HAGM08JED;86939,87;0,0;100,0;100,0;789,29;7,71
HBRR20NFA;109870,4;0,0;100,0;100,0;1170,82;6,04
HBRU63IHL;86560,47;0,0;100,0;100,0;1193,01;6,78
HCAY34CLI;7885,42;0,0;100,0;100,0;665,01;113,9
HCCJ85WIT;13,8;0,0;100,0;100,0;742,85;101,02
HCXC23JBK;2430,54;0,0;100,0;100,0;611,03;170,88
HDIJ21OEK;25601,17;3,9;98,99;96,1;803,4;13,14
HEAC11CHX;7179,68;0,0;100,0;100,0;559,03;52,41
HEBX11TNP;3476,65;0,0;100,0;100,0;722,67;88,99
HEDE46UIT;45614,3;0,53;98,99;99,47;386,47;7,06
HFSA48UZA;86616,25;5,97;96,97;94,03;1738,49;9,17
HGHK36SLL;7032,19;4,88;98,99;95,12;226,82;33,19
HGZW01FRJ;229014,62;7,36;96,97;92,64;4824,71;10,91
HHBY01SXC;392571,79;2,04;96,97;97,96;10181,01;4,74
HHQH93YHL;32154,2;0,0;100,0;100,0;1556,21;32,23
HHSY05IZY;11155,93;0,0;100,0;100,0;876,58;16,17
HIIL72RNZ;2,78;0,0;100,0;100,0;124,06;63,97
HISJ17RBJ;27741,55;0,75;98,99;99,25;1075,3;10,91
HJJD34BIQ;40049,33;0,26;99,49;99,74;638,29;15,55
HJRP94FDS;40787,17;0,0;100,0;100,0;3606,36;33,34
HLAH20ISI;119142,79;0,0;100,0;100,0;1113,37;9,23
HLDZ44QZN;11917,86;0,0;100,0;100,0;530,99;62,88
HLUD48LVM;40650,57;0,0;100,0;100,0;408,71;7,17
HLYY07FTD;190209,77;0,03;99,49;99,97;4596,77;5,32
HMKR20JJT;76030,08;0,0;100,0;100,0;1946,35;8,23
HMQV92SHD;81392,18;1,11;98,99;98,89;499,78;8,55
HNBP43ZMJ;242,72;0,0;100,0;100,0;470,45;17,58
HNMO99LMZ;79976,04;0,0;100,0;100,0;1776,14;29,09
HODW59JKZ;30901,76;0,0;100,0;100,0;699,99;12,01
HOUN33UQR;42746,89;0,0;100,0;100,0;2472,65;54,59
HPDG47ERF;11301,75;1,12;98,99;98,88;373,37;18,76
HQCP63KVF;6629,71;0,0;100,0;100,0;118,73;38,67
HQEV03LEY;14220,7;0,0;100,0;100,0;703,89;16,73
HQMJ53GFK;185204,47;0,69;99,49;99,31;6638,71;5,16
HRMD73WFT;1363,86;6,85;98,99;93,15;31,59;18,61
HRVO22SVX;66228,5;4,75;98,48;95,25;1636,83;19,03
HSET43YAZ;13370,42;0,0;100,0;100,0;183,44;12,84
HSOG84USO;27435,33;0,05;99,49;99,95;353,26;8,99
HTOA76TVA;31562,27;0,05;99,49;99,95;1033,18;11,11
HTOY37YRT;2074,22;0,0;100,0;100,0;1284,36;318,68
HTRF26XLO;171298,13;6,6;97,47;93,4;953,2;6,08
HUDS58NYR;40523,23;0,0;100,0;100,0;848,34;12,34
HURR77KQR;48629,58;0,0;100,0;100,0;574,12;7,57
HVBK11FDL;8021,78;0,0;100,0;100,0;2932,24;169,17
HVFK79WMU;20919,68;1,85;98,99;98,15;1799,23;25,25
HVLG50BVG;18905,65;0,0;100,0;100,0;246,59;11,05
HVRL62TUS;54749,3;2,67;98,99;97,33;566,7;12,55
HXEC39WBV;363358,71;3,39;96,97;96,61;23934,95;5,83
HXFM18BTQ;9711,81;3,05;97,98;96,95;346,3;8,45
HXGG96DOT;84236,44;4,92;97,47;95,08;1340,25;9,2
HXLO55PYA;4,99;0,0;100,0;100,0;139,09;176,54
HYLX99XNX;100103,06;0,85;98,99;99,15;1135,09;9,14
HYRL60UZX;32621,48;3,03;99,49;96,97;1024,64;23,29
HYYE50BCF;9666,61;4,34;98,99;95,66;394,02;24,2
HYYT98EPJ;64204,94;0,16;99,49;99,84;582,95;10,29
HZBL04PBW;47633,28;0,0;100,0;100,0;415,47;6,47
HZQO09WWV;34813,85;0,0;100,0;100,0;373,49;31,23
IAAB15LKG;1221615,08;1,21;98,99;98,79;22660,6;4,28
IAME04NHZ;11703,62;8,88;93,43;91,12;459,24;14,78
IAVE29ZKQ;17276,29;1,27;98,48;98,73;1202,82;33,58
IAZX92GXT;296032,27;0,0;100,0;100,0;2254,11;4,62
ICIQ56AHA;56179,31;0,2;99,49;99,8;1005,89;6,88
ICQZ39GIQ;187421,93;2,44;98,48;97,56;4980,26;6,39
IDIW64NXE;151039,04;2,57;98,99;97,43;8576,14;6,19
IDNJ93PNO;5299,88;0,0;100,0;100,0;188,65;67,18
IEXW92LIG;6328,12;0,0;100,0;100,0;434,29;113,14
IEZW96UJQ;45159,42;0,0;100,0;100,0;380,18;18,68
IFAF73ACY;2733,17;3,81;98,99;96,19;63,38;11,12
IFMM15HOG;87404,41;0,0;100,0;100,0;843,99;9,09
